RFID	number of trips
01 67 22 06 08 00 12 E0	1
02 67 22 06 08 00 12 E0	18
03 67 22 06 08 00 12 E0	48
04 67 22 06 08 00 12 E0	3
05 67 22 06 08 00 12 E0	33
07 67 22 06 08 00 12 E0	28
09 67 22 06 08 00 12 E0	3
0A 67 22 06 08 00 12 E0	108
0B 67 22 06 08 00 12 E0	111
0E 67 22 06 08 00 12 E0	30
0F 67 22 06 08 00 12 E0	2
10 67 22 06 08 00 12 E0	96
11 67 22 06 08 00 12 E0	38
13 67 22 06 08 00 12 E0	7
14 67 22 06 08 00 12 E0	55
17 67 22 06 08 00 12 E0	51
18 67 22 06 08 00 12 E0	1
19 67 22 06 08 00 12 E0	46
1A 67 22 06 08 00 12 E0	1
1B 67 22 06 08 00 12 E0	76
1C 67 22 06 08 00 12 E0	62
1D 67 22 06 08 00 12 E0	21
1E 67 22 06 08 00 12 E0	19
1F 67 22 06 08 00 12 E0	124
20 67 22 06 08 00 12 E0	111
21 67 22 06 08 00 12 E0	71
23 67 22 06 08 00 12 E0	2
24 67 22 06 08 00 12 E0	2
27 67 22 06 08 00 12 E0	2
29 67 22 06 08 00 12 E0	79
2A 67 22 06 08 00 12 E0	21
2B 67 22 06 08 00 12 E0	2
2C 67 22 06 08 00 12 E0	49
2D 67 22 06 08 00 12 E0	6
2E 67 22 06 08 00 12 E0	24
31 67 22 06 08 00 12 E0	76
32 67 22 06 08 00 12 E0	2
36 67 22 06 08 00 12 E0	29
37 67 22 06 08 00 12 E0	4
38 67 22 06 08 00 12 E0	113
39 67 22 06 08 00 12 E0	43
3A 67 22 06 08 00 12 E0	14
3C 67 22 06 08 00 12 E0	2
3E 67 22 06 08 00 12 E0	1
40 67 22 06 08 00 12 E0	26
41 67 22 06 08 00 12 E0	19
49 62 22 06 08 00 12 E0	12
4A 62 22 06 08 00 12 E0	11
4B 62 22 06 08 00 12 E0	20
4D 62 22 06 08 00 12 E0	95
4F 62 22 06 08 00 12 E0	4
50 5F 22 06 08 00 12 E0	4
50 62 22 06 08 00 12 E0	9
51 5F 22 06 08 00 12 E0	60
52 62 22 06 08 00 12 E0	61
53 62 22 06 08 00 12 E0	1
54 62 22 06 08 00 12 E0	12
56 62 22 06 08 00 12 E0	31
58 62 22 06 08 00 12 E0	8
58 67 22 06 08 00 12 E0	3
59 62 22 06 08 00 12 E0	4
5A 62 22 06 08 00 12 E0	51
5C 67 22 06 08 00 12 E0	2
5D 62 22 06 08 00 12 E0	16
5E 62 22 06 08 00 12 E0	17
5E 67 22 06 08 00 12 E0	10
5F 62 22 06 08 00 12 E0	25
5F 64 22 06 08 00 12 E0	9
60 5F 22 06 08 00 12 E0	42
60 62 22 06 08 00 12 E0	1
61 5F 22 06 08 00 12 E0	11
